Raw,Type,Type,Type,Type
"text collections (linguistic corpora) with different sorts of annotation (e.g. syntactic, morphological, etc.)
experimental results (reaction time, eye movements, EEG data)
code for experiments",Archive,Annotated Text,,
"I am drawn to books, images, museum collections. I have very little previous experience, so those come to mind.",Text,Archive,,
"I have no experience in computer programming system beyond the basics of Microsoft Word/Excell/PowerPoint. For my future research and academic interest, I am interested in archival record, digitized texts and books. I am interested in any programing system that helps with sound, graphics, grammar and sentences structures.",Museum Collections,Books,Archive,
"I have previously worked on open city data sets, building of retrieval augmented generation systems for research. I am specifically interested in learning Python to support my work in continuing to build specific artificial intelligence systems geared towards urban systems.",Open City Data,Census,,
"In my computational linguistics research, I'd like to engage with extensive textual datasets like the Common Crawl, a web archive offering a diverse collection of web pages in multiple languages. This data source enables people to study linguistic patterns and trends in real-world contexts. Also the Persona-Chat dataset is another valuable resource that aids in training chatbots to generate contextually appropriate responses.
By participating in this Python course, I aim to bolster my programming skills, enabling me to efficiently process and analyze linguistic datasets, which I still cannot do in my program.",Archive,Census,,
"I'd like to work with museum collections, census reports, open city datasets.",Annotated Text,Experimental Data,,
"As a first year student, I am in the process of getting an IRB approval for future data collection which will include a series of narratives written by the Russian Fulbright students. Moreover, I am planning to use digitized texts (social media like vk.com, twitter, instagram), songs, books, and other cultural tools to analyze the themes covered in them before and after the beginning of the Russian invasion of Ukraine, news reports from the governmental and independent media.",Text,Images,Museum Collections,
"I am deeply interested in exploring the rich potential of open city datasets in future research projects. These datasets, encompassing a wide range of urban-related information such as demographics, infrastructure, public health, and socio-economic indicators, offer a treasure trove of data for urban studies. A notable example is the New York City Open Data portal (https://opendata.cityofnewyork.us/), which hosts an extensive collection of data sets invaluable for comprehensive urban analysis.

My specific interest lies in utilizing these datasets to investigate urban challenges and development. I am particularly keen to analyze public health and environmental data to explore the relationship between urban planning and public health outcomes. This includes studying the impact of factors like air quality and green spaces on the health and well-being of city residents. Additionally, I plan to delve into demographic and public transportation data to assess the accessibility and efficiency of public services in large metropolitan areas.

This research aligns with my academic background in data analysis and social sciences, allowing me to contribute meaningful insights into sustainable urban development and public policy. By leveraging open city datasets, I aim to develop a nuanced understanding of urban ecosystems and contribute to data-driven solutions addressing contemporary urban challenges.",Archive,Images,,
"Sometimes I work with experimental results that need to be plotted or analyzed, but since I am a theorist, I am often starting with fundamental physics equations and applying them to a specific system. I work in photonics, so I am often using equations for electromagnetism and quantum mechanics as my starting point. Most recently, I used Matlab to model the geometry and coupling between atoms of a specific type of crystal lattice. Once I had this framework, I was able to use basic physics equations to learn more about how light would interact with this particular structure.",Text,Images,,
"Of the parenthetically described items, I have worked with books, digitized texts, images, archival records, and open city datasets. I have not worked with any of them in a computational/programming capacity, though -- for the most part, I've interacted with them for pleasure, or through searches connected to my work as a legal services attorney. I have not worked with any of the remaining materials in a serious capacity, but I imagine it would be useful to do so. It is a bit difficult to conceive of how I'd do so, given the limits on my current knowledge. So, I'd be interested in working with any of them.",Text,Museum Collections,,
"Museum collections (Met, British Museum, Getty, Louvre, et); digitized texts through Internet Archive; Pinterest (for organizing/finding data before I found out about Tropy); Zotero",Museum Collections,Open City Data,Census,
